,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1836,2021-04-07,16.10698524145724,7.544246089815346,24.424394286983865,16.10698524145724,16.10698524145724,-0.3315197676806045,-0.3315197676806045,-0.3315197676806045,0.6190339828334191,0.6190339828334191,0.6190339828334191,-0.9505537505140236,-0.9505537505140236,-0.9505537505140236,0.0,0.0,0.0,15.775465473776638
1837,2021-04-08,16.150881682586405,7.403982590059382,23.862958650818193,16.150881682586405,16.150881682586405,-0.39345513739271487,-0.39345513739271487,-0.39345513739271487,0.5622922683089723,0.5622922683089723,0.5622922683089723,-0.9557474057016871,-0.9557474057016871,-0.9557474057016871,0.0,0.0,0.0,15.75742654519369
1838,2021-04-09,16.19477812371555,7.330324208814726,24.013792523082795,16.19477812371555,16.19477812371555,-0.32114054042256795,-0.32114054042256795,-0.32114054042256795,0.64270432686765,0.64270432686765,0.64270432686765,-0.9638448672902179,-0.9638448672902179,-0.9638448672902179,0.0,0.0,0.0,15.873637583292982
1839,2021-04-12,16.326467447103003,7.401645350175518,24.26366731782896,16.326467447103003,16.326467447103003,-0.4627164313520837,-0.4627164313520837,-0.4627164313520837,0.5494574238214067,0.5494574238214067,0.5494574238214067,-1.0121738551734905,-1.0121738551734905,-1.0121738551734905,0.0,0.0,0.0,15.86375101575092
1840,2021-04-13,16.370363888232163,7.855401691507384,24.652050367149542,16.370363888232163,16.370363888232163,-0.41963160569232966,-0.41963160569232966,-0.41963160569232966,0.6187259806925846,0.6187259806925846,0.6187259806925846,-1.0383575863849142,-1.0383575863849142,-1.0383575863849142,0.0,0.0,0.0,15.950732282539834
1841,2021-04-14,16.414260329361323,6.764766643067745,24.560213622463085,16.414260329361323,16.414260329361323,-0.4514322566940094,-0.4514322566940094,-0.4514322566940094,0.6190339828334379,0.6190339828334379,0.6190339828334379,-1.0704662395274473,-1.0704662395274473,-1.0704662395274473,0.0,0.0,0.0,15.962828072667314
1842,2021-04-15,16.45815677049047,7.480287110308709,23.846688349505687,16.45815677049047,16.45815677049047,-0.5466136376662222,-0.5466136376662222,-0.5466136376662222,0.5622922683095342,0.5622922683095342,0.5622922683095342,-1.1089059059757564,-1.1089059059757564,-1.1089059059757564,0.0,0.0,0.0,15.911543132824246
1843,2021-04-16,16.50205321161963,7.600304458886275,24.696412796448648,16.50205321161963,16.50205321161963,-0.5112693238743633,-0.5112693238743633,-0.5112693238743633,0.6427043268647921,0.6427043268647921,0.6427043268647921,-1.1539736507391554,-1.1539736507391554,-1.1539736507391554,0.0,0.0,0.0,15.990783887745266
1844,2021-04-19,16.633742535007094,7.543990891057518,24.293117503605046,16.633742535007094,16.633742535007094,-0.7805262360946842,-0.7805262360946842,-0.7805262360946842,0.5494574238212493,0.5494574238212493,0.5494574238212493,-1.3299836599159334,-1.3299836599159334,-1.3299836599159334,0.0,0.0,0.0,15.853216298912411
1845,2021-04-20,16.677638976136254,7.556884741243854,23.889769619696803,16.677638976136254,16.677638976136254,-0.7831571658314002,-0.7831571658314002,-0.7831571658314002,0.6187259806919666,0.6187259806919666,0.6187259806919666,-1.4018831465233668,-1.4018831465233668,-1.4018831465233668,0.0,0.0,0.0,15.894481810304855
